Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MX0.ywJzG7r4_5IFWrXzKYb121hTZ2D-s4C18EJ7UR5OANk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6Mn0.4XecteKXvdmOlL2vR5znMNlkQjbOgRhLrgGOrWV5XpY&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /channel/join/v2 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6M30.XiXTOeEFziANJ_OVdS5N6LV919i8eWHEZeHpylMCj4U&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6NH0.18ZtKGEDYc1KPcFXiZZ9R5takcl-8PVJRYchzVL35Z4&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /channels/create/v2 HTTP/1.1" 200 -
